rollno,marks
073BEL300,81
073BEL301,75
073BEL302,51
073BEL303,43
073BEL304,32
073BEL305,62
073BEL306,28
073BEL307,80
073BEL308,57
073BEL309,90
073BEL310,76
073BEL311,25
073BEL312,48
073BEL313,49
073BEL314,63
073BEL315,73
073BEL316,60
073BEL317,67
073BEL318,37
073BEL319,99
073BEL320,64
073BEL321,85
073BEL322,52
073BEL323,28
073BEL324,31
073BEL325,40
073BEL326,85
073BEL327,24
073BEL328,48
073BEL329,52
073BEL330,62
073BEL331,39
073BEL332,63
073BEL333,32
073BEL334,81
073BEL335,29
073BEL336,98
