rollno,marks
073BEL300,48
073BEL301,66
073BEL302,84
073BEL303,34
073BEL304,78
073BEL305,24
073BEL306,24
073BEL307,85
073BEL308,100
073BEL309,88
073BEL310,51
073BEL311,85
073BEL312,72
073BEL313,68
073BEL314,24
073BEL315,49
073BEL316,45
073BEL317,42
073BEL318,23
073BEL319,71
073BEL320,76
073BEL321,79
073BEL322,97
073BEL323,96
073BEL324,33
073BEL325,75
073BEL326,37
073BEL327,42
073BEL328,100
073BEL329,77
073BEL330,45
073BEL331,100
073BEL332,92
073BEL333,94
073BEL334,53
073BEL335,34
073BEL336,60
