rollno,marks
073BEL301,41
073BEL302,67
073BEL303,41
073BEL304,63
073BEL305,30
073BEL306,23
073BEL307,70
073BEL308,38
073BEL309,56
073BEL310,97
073BEL311,51
073BEL312,64
073BEL313,81
073BEL314,54
073BEL315,20
073BEL316,99
073BEL317,77
073BEL318,63
073BEL319,99
073BEL320,76
073BEL321,28
073BEL322,79
073BEL323,50
073BEL324,60
073BEL325,39
073BEL326,74
073BEL327,83
073BEL328,22
073BEL329,32
073BEL330,35
073BEL331,73
073BEL332,66
073BEL333,99
073BEL334,56
073BEL335,60
073BEL336,61
073BEL337,61
