rollno,marks
073BEL301,55
073BEL302,91
073BEL303,47
073BEL304,44
073BEL305,38
073BEL306,97
073BEL307,43
073BEL308,73
073BEL309,97
073BEL310,82
073BEL311,63
073BEL312,62
073BEL313,31
073BEL314,88
073BEL315,94
073BEL316,96
073BEL317,62
073BEL318,40
073BEL319,87
073BEL320,77
073BEL321,29
073BEL322,56
073BEL323,75
073BEL324,68
073BEL325,94
073BEL326,95
073BEL327,65
073BEL328,78
073BEL329,85
073BEL330,99
073BEL331,23
073BEL332,61
073BEL333,54
073BEL334,74
073BEL335,98
073BEL336,76
073BEL337,92
