rollno,marks
073BEL300,49
073BEL301,82
073BEL302,20
073BEL303,78
073BEL304,98
073BEL305,97
073BEL306,85
073BEL307,53
073BEL308,67
073BEL309,69
073BEL310,80
073BEL311,100
073BEL312,51
073BEL313,68
073BEL314,80
073BEL315,68
073BEL316,48
073BEL317,90
073BEL318,36
073BEL319,98
073BEL320,60
073BEL321,20
073BEL322,70
073BEL323,98
073BEL324,83
073BEL325,86
073BEL326,33
073BEL327,77
073BEL328,90
073BEL329,28
073BEL330,80
073BEL331,30
073BEL332,64
073BEL333,70
073BEL334,33
073BEL335,33
073BEL336,85
